utdate	obsnum	subsysnr	subbands	file_id	instrume	obs_type
20190429	32	2	1000MHzx1024	a20190429_00032_01_0001.sdf	HARP	science
20190429	32	2	1000MHzx1024	a20190429_00032_02_0001.sdf	HARP	science
20190429	34	1	1000MHzx1024	a20190429_00034_01_0001.sdf	HARP	science
20190429	34	1	1000MHzx1024	a20190429_00034_02_0001.sdf	HARP	science
20190429	34	2	1000MHzx1024	a20190429_00034_01_0001.sdf	HARP	science
20190429	34	2	1000MHzx1024	a20190429_00034_02_0001.sdf	HARP	science
20190429	35	1	1000MHzx1024	a20190429_00035_01_0001.sdf	HARP	science
20190429	35	1	1000MHzx1024	a20190429_00035_02_0001.sdf	HARP	science
20190429	35	2	1000MHzx1024	a20190429_00035_01_0001.sdf	HARP	science
20190429	35	2	1000MHzx1024	a20190429_00035_02_0001.sdf	HARP	science
20190429	38	1	1000MHzx1024	a20190429_00038_01_0001.sdf	HARP	science
20190429	38	1	1000MHzx1024	a20190429_00038_02_0001.sdf	HARP	science
20190429	38	2	1000MHzx1024	a20190429_00038_01_0001.sdf	HARP	science
20190429	38	2	1000MHzx1024	a20190429_00038_02_0001.sdf	HARP	science
20190429	39	1	1000MHzx1024	a20190429_00039_01_0001.sdf	HARP	science
20190429	39	1	1000MHzx1024	a20190429_00039_02_0001.sdf	HARP	science
20190429	39	2	1000MHzx1024	a20190429_00039_01_0001.sdf	HARP	science
20190429	39	2	1000MHzx1024	a20190429_00039_02_0001.sdf	HARP	science
20190429	43	1	1000MHzx2048	a20190429_00043_01_0001.sdf	HARP	science
20190430	6	1	1000MHzx2048	a20190430_00006_01_0001.sdf	HARP	science
20190430	7	1	1000MHzx2048	a20190430_00007_01_0001.sdf	HARP	science
20190430	8	1	1000MHzx2048	a20190430_00008_01_0001.sdf	HARP	science
20190430	9	1	1000MHzx2048	a20190430_00009_01_0001.sdf	HARP	science
20190430	10	1	1000MHzx2048	a20190430_00010_01_0001.sdf	HARP	science
20190430	13	1	1000MHzx2048	a20190430_00013_01_0001.sdf	HARP	science
20190430	14	1	1000MHzx2048	a20190430_00014_01_0001.sdf	HARP	science
20190430	15	1	1000MHzx2048	a20190430_00015_01_0001.sdf	HARP	science
20190430	16	1	1000MHzx2048	a20190430_00016_01_0001.sdf	HARP	science
20190430	19	1	1000MHzx2048	a20190430_00019_01_0001.sdf	HARP	science
20190430	20	1	1000MHzx2048	a20190430_00020_01_0001.sdf	HARP	science
20190430	23	1	1000MHzx2048	a20190430_00023_01_0001.sdf	HARP	science
20190430	25	1	1000MHzx2048	a20190430_00025_01_0001.sdf	HARP	science
20190430	29	1	1000MHzx2048	a20190430_00029_01_0001.sdf	HARP	science
20190430	30	1	1000MHzx2048	a20190430_00030_01_0001.sdf	HARP	science
20190430	31	1	250MHzx4096	a20190430_00031_01_0001.sdf	HARP	science
20190430	31	1	250MHzx4096	a20190430_00031_01_0002.sdf	HARP	science
